,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15902,1,,B2,156 BEACH 60TH STREET,,11692,2,0,2,"2,775","2,386",1960,1,B2,"1,184,181",11/22/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15902,15,,B1,188 BEACH 60 STREET,,11692,2,0,2,"4,241","2,052",2000,1,B1,0,2/28/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15904,25,,B9,187 BEACH 61ST STREET,,11692,2,0,2,"2,364","1,729",1955,1,B9,0,2/6/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,6,,B2,63-10 BEACH FRONT ROAD,,11692,2,0,2,"3,542","3,084",2014,1,B2,0,4/23/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,59,,B2,162 SEA GRASS LANE,,11692,2,0,2,"3,226","2,515",2014,1,B2,"885,000",10/4/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,174,,B2,64-15 OCEAN AVENUE NORTH,,11692,2,0,2,"2,120","3,018",2014,1,B2,0,2/6/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,250,,B2,6516 SEASPRAY AVE,,11692,2,0,2,"5,223","2,908",2011,1,B2,"1,148,000",9/12/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,255,,B2,66-04 SEASPRAY AVENUE,,11692,2,0,2,"2,143","2,908",2011,1,B2,"1,100,000",8/4/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,289,,B2,120 BEACH WAY,,11692,2,0,2,"3,543","2,419",2011,1,B2,"1,150,000",12/1/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,298,,B2,65-10 BEACH FRONT ROAD,,11692,2,0,2,"3,542","3,084",2014,1,B2,"1,320,000",9/28/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15910,35,,B2,338 BEACH 66 STREET,,11692,2,0,2,"2,700","1,864",1950,1,B2,0,11/8/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15910,37,,B2,340 BEACH 66 STREET,,11692,2,0,2,"3,000","1,864",1950,1,B2,0,11/9/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15913,74,,B2,333 BEACH 66 STREET,,11692,2,0,2,"4,000","1,904",1920,1,B2,0,4/18/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15915,43,,B3,350 BEACH 68TH STREET,,11692,2,0,2,"4,000","1,999",1910,1,B3,"820,000",11/15/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,43,,B2,352 BEACH 69 STREET,,11692,2,0,2,"6,000","2,926",1910,1,B2,0,8/14/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,70,,B2,N/A BEACH 68 STREET,,11692,2,0,2,"4,000","2,500",2022,1,B2,"958,669",3/13/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15932,37,,B1,150 BEACH 61 STREET,,11692,2,0,2,"3,135","1,994",1999,1,B1,"248,000",5/12/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,23,,B3,442 BEACH 44TH STREET,,11691,2,0,2,"3,470","2,164",1899,1,B3,"670,000",1/13/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,40,,B2,474 BEACH 44 STREET,,11691,2,0,2,"2,107","2,244",2002,1,B2,"625,000",1/20/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,143,,B2,484 BEACH 44TH STREET,,11691,2,0,2,"2,862","2,288",2004,1,B2,0,5/28/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,20,,B9,450 BEACH 48TH STREET,,11691,2,0,2,"9,677","1,869",1960,1,B9,0,5/13/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,105,,B1,62-22 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,281",2022,1,B1,"783,500",1/17/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,106,,B2,62-20 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,281",2022,1,B2,"814,600",1/27/23
